Enviando telemetria C para 127.0.0.1:12345 a cada 50 ms
C,0,0,0,0,500
C,0,0,0,0,529
C,0,0,0,0,558
C,0,0,0,0,589
C,0,0,0,0,617
C,0,0,0,0,646
C,1,0,1,0,673
C,1,0,1,0,700
C,1,0,1,0,725
C,1,0,1,0,750
C,1,0,1,0,774
C,1,0,1,0,797
C,1,0,1,0,818
C,1,0,1,0,838
C,1,0,1,0,857
C,1,0,1,0,874
C,1,0,1,0,890
C,1,0,1,0,903
C,1,0,1,0,916
C,1,0,1,0,926
C,1,0,1,0,935
C,1,0,1,0,941
C,1,0,1,0,946
C,1,0,1,0,949
C,1,0,1,0,949
C,1,0,1,0,948
C,1,0,1,0,945
C,1,0,1,0,940
C,1,0,1,0,933
C,1,0,1,0,924
C,1,0,1,0,913
C,0,0,0,0,900
C,0,0,0,0,885
C,0,0,0,0,869
C,0,0,0,0,852
C,0,0,0,0,833
C,0,0,0,0,812
C,0,0,0,0,791
C,0,0,0,0,767
C,0,0,0,0,743
C,0,0,0,0,716
C,0,0,0,0,690
C,0,1,1,0,660
C,0,1,1,0,632
C,0,1,1,0,604
C,0,1,1,0,575
C,0,1,1,0,546
C,0,1,1,0,514
C,0,1,1,0,485
C,0,1,1,0,455
C,0,1,1,0,426
C,0,1,1,0,398
C,0,1,1,0,369
C,0,1,1,0,341
C,0,1,1,0,314
C,0,1,1,0,287
C,0,1,1,0,261
C,0,1,1,0,237
C,0,1,1,0,214
C,0,1,1,0,192
C,0,1,1,0,171
C,0,1,1,0,152
C,0,1,1,0,134
C,0,1,1,0,117
C,0,1,1,0,103
C,0,1,1,0,90
C,0,1,1,0,79
C,0,1,1,0,69
C,0,0,0,0,61
C,0,0,0,0,56
C,0,0,0,0,52
C,0,0,0,0,50
C,0,0,0,0,50
C,0,0,0,0,52
C,0,0,0,0,55
C,0,0,0,0,61
C,0,0,0,0,68
C,0,0,0,0,78
C,0,0,0,0,89
C,1,0,1,0,102
C,1,0,1,1,116
C,1,0,1,1,132
C,1,0,1,1,150
C,1,0,1,1,169
C,1,0,1,1,190
C,1,0,1,1,212
C,1,0,1,1,235
C,1,0,1,1,259
C,1,0,1,1,285
C,1,0,1,1,311
C,1,0,1,1,338
C,1,0,1,1,366
C,1,0,1,1,395
C,1,0,1,1,423
C,1,0,1,1,452
C,1,0,1,1,482
C,1,0,1,1,511
C,1,0,1,1,540
C,1,0,1,1,569
C,1,0,1,1,598
C,1,0,1,1,627
C,1,0,1,1,654
C,1,0,1,1,682
C,1,0,1,1,708
C,1,0,1,1,734
C,0,0,0,1,758
C,0,0,0,1,782
C,0,0,0,1,804
C,0,0,0,1,825
C,0,0,0,1,844
C,0,0,0,1,862
C,0,0,0,1,879
C,0,0,0,1,894
C,0,0,0,1,907
C,0,0,0,1,919
C,0,0,0,1,929
C,0,1,1,1,936
C,0,1,1,1,943
C,0,1,1,1,947
C,0,1,1,1,949
C,0,1,1,1,949
C,0,1,1,1,948
C,0,1,1,1,944
C,0,1,1,1,939
C,0,1,1,1,932
C,0,1,1,1,923
C,0,1,1,1,912
C,0,1,1,1,899
C,0,1,1,1,885
C,0,1,1,1,869
C,0,1,1,1,852
C,0,1,1,1,833
C,0,1,1,1,812
C,0,1,1,1,790
C,0,1,1,1,767
C,0,1,1,1,743
C,0,1,1,1,718
C,0,1,1,1,692
C,0,1,1,1,665
C,0,1,1,1,638
C,0,1,1,1,609
C,0,1,1,1,581
C,0,0,0,1,552
C,0,0,0,1,523
C,0,0,0,1,493
C,0,0,0,1,464
C,0,0,0,1,435
C,0,0,0,1,406
